epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,15912.3,1.34948,0.52245,1.40998,0.96166,0.97961,0.99276,0.66638,1.19301,0.40661,1.37582,0.0068914,0.0068914,0.0068914
159,16041.3,1.34851,0.52471,1.41694,0.96165,0.97935,0.99274,0.66673,1.19284,0.40644,1.37562,0.0068716,0.0068716,0.0068716
160,16170.2,1.35541,0.52784,1.4165,0.96165,0.97941,0.99276,0.66662,1.19265,0.40633,1.37559,0.0068518,0.0068518,0.0068518
161,16300.5,1.3518,0.52734,1.41242,0.96164,0.9791,0.99278,0.66545,1.19256,0.40621,1.37545,0.006832,0.006832,0.006832
162,16429.5,1.34903,0.52687,1.41372,0.96164,0.97892,0.99276,0.66581,1.19215,0.40631,1.37521,0.0068122,0.0068122,0.0068122
163,16558.4,1.35854,0.52741,1.41541,0.96188,0.9787,0.99277,0.66658,1.19196,0.40618,1.37511,0.0067924,0.0067924,0.0067924
164,16687.2,1.34804,0.52449,1.40718,0.96247,0.9787,0.99277,0.66701,1.19176,0.40592,1.37503,0.0067726,0.0067726,0.0067726
165,16816.1,1.35096,0.52364,1.40808,0.9627,0.9787,0.99277,0.66663,1.1915,0.40531,1.37472,0.0067528,0.0067528,0.0067528
166,16944.8,1.34482,0.52739,1.40599,0.96386,0.9787,0.99278,0.66748,1.19108,0.4053,1.37431,0.006733,0.006733,0.006733
167,17073.4,1.34905,0.52305,1.41223,0.96497,0.978,0.99276,0.66688,1.19081,0.40552,1.37388,0.0067132,0.0067132,0.0067132
168,17202.4,1.34868,0.5201,1.40667,0.96496,0.97782,0.99276,0.66682,1.19055,0.40625,1.37379,0.0066934,0.0066934,0.0066934
169,17331.3,1.34445,0.52063,1.40653,0.96456,0.9787,0.99277,0.66698,1.19013,0.40564,1.37351,0.0066736,0.0066736,0.0066736
170,17460.3,1.34751,0.51759,1.40629,0.96478,0.9787,0.99276,0.66548,1.19033,0.40585,1.37356,0.0066538,0.0066538,0.0066538
171,17589.1,1.34708,0.52474,1.41548,0.96478,0.9787,0.99274,0.66691,1.18998,0.40528,1.3735,0.006634,0.006634,0.006634
